345,4
2,8
4,12
6,16
8,20
10,24
12,28
14,32
16,36
18,40
20,44
22,48
24,52
26,56
28,60
30,64
32,68
34,72
36,76
38,80
40,84
42,88
44,92
46,96
48,100
50,104
52,108
54,112
56,116
58,120
60,124
62,128
64,132
66,136
68,140
70,144
72,148
74,152
76,156
78,160
80,164
82,168
84,172
86,176
88,180
90,184
92,188
94,192
96,196
98,200
100,204
102,208
104,212
106,216
108,220
110,224
112,228
114,232
116,236
118,240
120,244
122,248
124,252
126,256
128,260
130,264
132,268
134,272
136,276
138,280
140,284
142,288
144,292
146,296
148,300
150,304
152,308
154,312
156,316
158,320
160,324
162,328
164,332
166,336
168,340
170,344
172,348
174,352
176,356
178,360
180,364
182,368
184,372
186,376
188,380
190,384
192,388
194,392
196,396
198,400
200,404
202,408
204,412
206,416
208,420
210,424
212,428
214,432
216,436
218,440
220,444
222,448
224,452
226,456
228,460
230,464
232,468
234,472
236,476
238,480
240,484
242,488
244,492
246,496
248,500
250,504
252,508
254,512
256,516
258,520
260,524
262,528
264,532
266,536
268,540
270,544
272,548
274,552
276,556
278,560
280,564
282,568
284,572
286,576
288,580
290,584
292,588
294,592
296,596
298,600
300,604
302,608
304,612
306,616
308,620
310,624
312,628
314,632
316,636
318,640
320,644
322,648
324,652
326,656
328,660
330,664
332,668
334,672
336,676
338,680
340,684
342,688
344,692
346,696
348,700
350,704
352,708
354,712
356,716
358,720
360,724
362,728
364,732
366,736
368,740
370,744
372,748
374,752
376,756
378,760
380,764
382,768
384,772
386,776
388,780
390,784
392,788
394,792
396,796
398,800
400,804
402,808
404,812
406,816
408,820
410,824
412,828
414,832
416,836
418,840
420,844
422,848
424,852
426,856
428,860
430,864
432,868
434,872
436,876
438,880
440,884
442,888
444,892
446,896
448,900
450,904
452,908
454,912
456,916
458,920
460,924
462,928
464,932
466,936
468,940
470,944
472,948
474,952
476,956
478,960
480,964
482,968
484,972
486,976
488,980
490,984
492,988
494,992
496,996
498,1000
500,1004
502,1008
504,1012
506,1016
508,1020
510,1024
512,1028
514,1032
516,1036
518,1040
520,1044
522,1048
524,1052
526,1056
528,1060
530,1064
532,1068
534,1072
536,1076
538,1080
540,1084
542,1088
544,1092
546,1096
548,1100
550,1104
552,1108
554,1112
556,1116
558,1120
560,1124
562,1128
564,1132
566,1136
568,1140
570,1144
572,1148
574,1152
576,1156
578,1160
580,1164
582,1168
584,1172
586,1176
588,1180
590,1184
592,1188
594,1192
596,1196
598,1200
600,1204
602,1208
604,1212
606,1216
608,1220
610,1224
612,1228
614,1232
616,1236
618,1240
620,1244
622,1248
624,1252
626,1256
628,1260
630,1264
632,1268
634,1272
636,1276
638,1280
640,1284
642,1288
644,1292
646,1296
648,1300
650,1304
652,1308
654,1312
656,1316
658,1320
660,1324
662,1328
664,1332
666,1336
668,1340
670,1344
672,1348
674,1352
676,1356
